105,  11,  1155,           0
208, 116, 24128,           1
 38,  41,  1558,           1
133,  29,  3857,           1
 85, 115,  9775,           1
129, 226, 29154,           1
105, 139, 14595,           1
245, 160, 39200,           1
237,  26,  6162,           1
 11,  42,   462,           1
  0, 136,     0,           1
206,  59, 12154,           1
229, 176, 40304,           1
174,  90, 15660,           1
  3, 173,   519,           1
 76, 236, 17936,           1
228,  41,  9348,           1
 36, 210,  7560,           1
 84, 183, 15372,           1
133, 100, 13300,           1
114,  26,  2964,           1
 95, 149, 14155,           1
101,  81,  8181,           1
 83, 169, 14027,           1
 20,  39,   780,           1
232, 195, 45240,           1
  5, 114,   570,           1
174,  15,  2610,           1
 81,  18,  1458,           1
220, 137, 30140,           1
 59, 177, 10443,           1
164, 133, 21812,           1
229, 164, 37556,           1
 77,  93,  7161,           1
 59,  91,  5369,           1
207,  51, 10557,           1
251, 122, 30622,           1
107, 106, 11342,           1
111,  86,  9546,           1
133,  91, 12103,           1
111, 137, 15207,           1
  2, 111,   222,           1
119, 212, 25228,           1
 99, 159, 15741,           1
 38, 126,  4788,           1
201, 236, 47436,           1
 84, 231, 19404,           1
143, 133, 19019,           1
131, 244, 31964,           1
254, 129, 32766,           1
