A,B,Calc,Actual,Error,,,,,A,B,Calc,Actual,Error
105,11,1155,1155,0,,,>127,,97,20,1940,1940,0
208,116,7744,24128,16384,,,,,16,9,144,144,0
38,41,1558,1558,0,,,,,75,41,3075,3075,0
133,29,65297,3857,-61440,,,,,1,38,38,38,0
85,115,9775,9775,0,,,,,38,44,1672,1672,0
129,226,482,29154,28672,,,,,52,114,5928,5928,0
105,139,53251,14595,-38656,,,,,93,60,5580,5580,0
245,160,46112,39200,-6912,,,,,107,57,6099,6099,0
237,26,2322,6162,3840,,,,,44,86,3784,3784,0
11,42,462,462,0,,,,,3,56,168,168,0
0,136,0,0,0,,,,,67,77,5159,5159,0
206,59,12154,12154,0,,,,,32,116,3712,3712,0
229,176,47216,40304,-6912,,,,,52,36,1872,1872,0
174,90,11820,15660,3840,,,,,47,1,47,47,0
3,173,65287,519,-64768,,,,,80,88,7040,7040,0
76,236,64016,17936,-46080,,,,,75,89,6675,6675,0
228,41,10372,9348,-1024,,,,,76,46,3496,3496,0
36,210,63880,7560,-56320,,,,,83,69,5727,5727,0
84,183,59404,15372,-44032,,,,,104,113,11752,11752,0
133,100,1012,13300,12288,,,,,125,61,7625,7625,0
114,26,2964,2964,0,,,,,117,92,10764,10764,0
95,149,55371,14155,-41216,,,,,12,22,264,264,0
101,81,8181,8181,0,,,,,100,78,7800,7800,0
83,169,58315,14027,-44288,,,,,30,78,2340,2340,0
20,39,780,780,0,,,,,100,85,8500,8500,0
232,195,51384,45240,-6144,,,,,112,121,13552,13552,0
5,114,570,570,0,,,,,92,119,10948,10948,0
174,15,2610,2610,0,,,,,120,122,14640,14640,0
81,18,1458,1458,0,,,,,59,117,6903,6903,0
220,137,56764,30140,-26624,,,,,43,53,2279,2279,0
59,177,60875,10443,-50432,,,,,6,65,390,390,0
164,133,61748,21812,-39936,,,,,10,84,840,840,0
229,164,48564,37556,-11008,,,,,57,78,4446,4446,0
77,93,7161,7161,0,,,,,116,88,10208,10208,0
59,91,5369,5369,0,,,,,72,90,6480,6480,0
207,51,10557,10557,0,,,,,60,25,1500,1500,0
251,122,14494,30622,16128,,,,,40,107,4280,4280,0
107,106,11342,11342,0,,,,,82,120,9840,9840,0
111,86,9546,9546,0,,,,,55,33,1815,1815,0
133,91,8007,12103,4096,,,,,97,113,10961,10961,0
111,137,52327,15207,-37120,,,,,24,116,2784,2784,0
2,111,222,222,0,,,,,31,3,93,93,0
119,212,60300,25228,-35072,,,,,20,88,1760,1760,0
99,159,55933,15741,-40192,,,,,19,77,1463,1463,0
38,126,4788,4788,0,,,,,15,94,1410,1410,0
201,236,61516,47436,-14080,,,,,41,81,3321,3321,0
84,231,63436,19404,-44032,,,,,105,31,3255,3255,0
143,133,64331,19019,-45312,,,,,13,8,104,104,0
131,244,63964,31964,-32000,,,,,12,90,1080,1080,0
254,129,49662,32766,-16896,,,,,16,68,1088,1088,0
